POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,HSCB,ZNF648,LRRC52
POLB,PCNA,RHOF,TIAM1,ITGA10
POLB,PCNA,RHOF,TIAM1,PHKA2
POLB,PCNA,RHOF,TIAM1,SIGLEC9
POLB,XRCC1,KLF6,NR0B2,ATP2B2
POLB,PCNA,P4HB,RIPK1,FPR2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,H2BC8,CCDC25
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,YBX1,RBMXL2,CDV3
POLB,XRCC1,PARP1,RPA4,RTN3
POLB,PCNA,RHOF,TIAM1,KCNC1
POLB,PCNA,RHOF,TIAM1,APOB
POLB,PCNA,UBA52,ZFYVE19,RIC8A
POLB,PCNA,RHOF,TIAM1,ORAI1
POLB,H2BC21,ZMYM3,MXD3,KLRF1
POLB,PCNA,DHX15,SF3B5,PCDHGB3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,POLD1,GINS4,MMP14
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,UBE2D3,BIRC7,CLCN5
POLB,PCNA,RHOF,TIAM1,SLC24A1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RELA,ASB9,NALCN,CHRM3
POLB,XRCC1,PARP1,RPA4,EXOC8
POLB,PCNA,NEDD8,EMG1,DCXR
POLB,PCNA,IGF1R,ADAMTS4,KLB
POLB,XRCC1,PARP1,RPA4,PLEKHG5
POLB,PCNA,EP300,TGS1,FCER1G,CD300C
POLB,PCNA,HSCB,ZNF648,TMED1
POLB,PCNA,EP300,TGS1,FCER2
POLB,PCNA,RHOF,TIAM1,ITGA1
POLB,PCNA,RHOF,TIAM1,STK16
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,PALM2AKAP2
POLB,PCNA,RHOF,TIAM1,CD247
POLB,XRCC1,PARP1,RPA4,LIN7C
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RELA,ASB9,TESMIN,OR4X2
POLB,PCNA,EP300,TGS1,LRFN2
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,UHRF2,ZNF410,CNNM2
POLB,XRCC1,PARP1,RPA4,BICD2
POLB,PCNA,RHOF,TIAM1,CNNM3
POLB,XRCC1,KLF10,TNS1,STX11
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,RPS20,EIF2S1,AQP7
POLB,PCNA,RHOF,TIAM1,PSCA
POLB,PCNA,UBC,TBC1D15,IL17RC
POLB,PCNA,PPP1CC,TOR1AIP1,ADGRL1
POLB,PCNA,RHOF,TIAM1,DPP4
POLB,PCNA,GOLGA1,DVL3,SYTL2
POLB,H2BC21,AKT1,TLR2,OR51E2
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,P4HB,RIPK1,DRD1
POLB,PCNA,KPNA1,TPX2,NUBPL
POLB,LIG3,MDC1,CDH13
POLB,PCNA,KRAS,KPRP,WNT5B
POLB,PCNA,RELA,ASB9,VIPR1
POLB,PCNA,GOLGA1,DVL3,PTP4A2
POLB,PCNA,RHOF,TIAM1,SYT6
POLB,XRCC1,PARP1,RPA4,STRN3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,KIAA1522,NCK1,RASGRP4
POLB,PCNA,RHOF,TIAM1,NPHS1,NPHS2
POLB,PCNA,RELA,ASB9,CLDN20
POLB,PCNA,RHOF,TIAM1,OSBPL1A
POLB,H2BC8,CSNK2A2,BHLHE41,GRAMD2A
POLB,PCNA,RELA,ASB9,UNC13B,DOC2B
POLB,PCNA,EP300,TGS1,TNFRSF13B
POLB,H2BC21,IGSF3,TSPAN15
POLB,PCNA,RHOF,TIAM1,HTR3A
POLB,H2BC21,AKT1,TLR2
POLB,H2BC8,ZMYM2,C8A
POLB,H2BC8,CHD1L,NT5E
POLB,PCNA,RHOF,TIAM1,SSTR2
POLB,PCNA,RHOF,TIAM1,C3orf52,SLC23A2
POLB,PCNA,EP300,TGS1,SORL1
POLB,PCNA,PHB1
POLB,PCNA,RHOF,TIAM1,AOC3
POLB,XRCC1,KLF10,TNS1,LAPTM5
POLB,PCNA,KIAA1522,NCK1
POLB,PCNA,RHOF,TIAM1,PCDH10
POLB,PCNA,YWHAQ,KSR1,RGS8
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,NDC1
POLB,PCNA,RHOF,TIAM1,CLEC4C
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,P4HB,RIPK1,GNA11
POLB,XRCC1,PARP1,RPA4,DGKQ
POLB,H2BC21,PKMYT1,INSRR
POLB,PCNA,RELA,ASB9,CD1C
POLB,PCNA,RHOF,TIAM1,KCNJ4
POLB,PCNA,GOLGA1,DVL3,ANXA4
POLB,XRCC1,PARP1,RPA4,RAB31
POLB,PCNA,RELA,ASB9,AQP8
POLB,PCNA,EZH2,CRY2,KLRK1,RAET1L
POLB,XRCC1,PARP1,RPA4,WDFY3
POLB,PCNA,CALR,TMX3
POLB,PCNA,RHOF,TIAM1,CLDN4
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,UBE2D3,BIRC7,MYCBPAP
POLB,PCNA,KPNA1,TPX2,CLCN3,CNGA4
POLB,XRCC1,PARP1,RPA4,AQP6
POLB,PCNA,PRDX6,SPR,ATP10A
POLB,PCNA,CCND3,CDK16
POLB,PCNA,RELA,ASB9,PI4K2B
POLB,XRCC1,POLI,RIGI,AQP1,SLC39A2
POLB,PCNA,RELA,ASB9,ZAN
POLB,PCNA,MSH6,ANKRD17,GSC2,BEST3
POLB,XRCC1,PARP1,RPA4,RASGEF1B
POLB,PCNA,SUMO1,VHL
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,GNG13
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,SEPHS1
POLB,PCNA,CCND3,CDK16
POLB,XRCC1,PARP1,RPA4,ADI1
POLB,PCNA,UHRF2,ZNF410,DPP6
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,P4HB,RIPK1,TCN2
POLB,PCNA,PRDX6,SPR,CLIC1
POLB,PCNA,IGF1R,ADAMTS4,OXER1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,GNG10
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,PRDX3,ATP5F1B,CLCA4
POLB,XRCC1,PARP1,RPA4,ABCC10
POLB,XRCC1,POLK,SBSN,PACSIN3
POLB,XRCC1,PARP1,RPA4,ARHGDIG
POLB,PCNA,RNASEH2A,ICAM5
POLB,PCNA,KRAS,KPRP,CNTNAP3
POLB,PCNA,PRDX3,ATP5F1B,BLVRB
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,MLH1,PPP3CB
POLB,PCNA,KPNA1,TPX2,ROBO4
POLB,XRCC1,POLI,RIGI,AIFM2
POLB,PCNA,CDK1,CKS2,CSMD3
POLB,XRCC1,PARP1,RPA4,PLIN4
POLB,LIG3,NR3C1,CLPTM1L,SLC39A14
POLB,LIG3,NR3C1,CLPTM1L,C9
POLB,PCNA,RHOF,TIAM1,SHH
POLB,PCNA,RHOF,TIAM1,PAG1
POLB,PCNA,WWOX,CATSPERE,SNX15
POLB,PCNA,EP300,TGS1,SCN8A
POLB,PCNA,RHOF,TIAM1,LPAR4
POLB,PCNA,RHOF,TIAM1,ADRA1B
POLB,XRCC1,PARP1,RPA4,LRRC8D
POLB,PCNA,P4HB,RIPK1,CALCRL,RAMP1
POLB,PCNA,PPP1CB,PAPOLA,FRMPD2
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,ZACN
POLB,PCNA,UBC,TBC1D15,COL23A1
POLB,PCNA,RHOF,TIAM1,PIGR
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,PRDX6,SPR,RGS1
POLB,PCNA,EP300,TGS1,KLHL41
POLB,PCNA,RHOF,TIAM1,RAB18
POLB,PCNA,RHOF,TIAM1,RILPL1
POLB,H2BC8,HMG20A,PAWR
POLB,H2BC8,EIF4H,MCC
POLB,PCNA,PRDX6,SPR,KCNC4
POLB,XRCC1,PARP1,RPA4,AQP6,TSPO2
POLB,PCNA,RHOF,TIAM1,GABRA2
POLB,H2BC8,BRD3,LTBP1,GRID1
POLB,XRCC1,KLF6,NR0B2,CACNA1A
POLB,PCNA,RHOF,TIAM1,SLC22A18
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PNKP,EIF4ENIF1,PI4KA,TTC7B
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,POLD1,GINS4,NECTIN2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RELA,ASB9,ATP8B2
POLB,PCNA,RHOF,TIAM1,VMP1
POLB,XRCC1,PARP1,RPA4,STXBP5
POLB,PCNA,H4C6,ZBTB20,KCNA10
POLB,PCNA,KCTD10,SH3KBP1,RAPSN
POLB,PCNA,P4HB,RIPK1,GHRHR
POLB,PCNA,RHOF,TIAM1,SHC4
POLB,PCNA,WWOX,CATSPERE,TVP23B,YIPF1
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,HTR2B
POLB,PCNA,EP300,TGS1,PARP14
POLB,H2BC21,H3-4,CAPN3
POLB,XRCC1,KLF6,NR0B2,CACNA1A,CACNB4
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,UBB,TNFRSF1A
POLB,XRCC1,PARP1,RPA4,ABI3,BAIAP2L2
POLB,PCNA,KPNA1,TPX2,DSCAML1
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,KRAS,KPRP,GYPC
POLB,PCNA,PRDX6,SPR,NHERF4
POLB,PCNA,PRDX3,ATP5F1B,C11orf24
POLB,XRCC1,KLF10,TNS1,CACNA1G
POLB,H2BC21,BCLAF1,CORO2A,SLC16A8
POLB,PCNA,ZBTB38,PPP2R2A,STK32A
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,H1-4,FBP2
POLB,H2BC8,H2BC9,TEX15,PCDHB12
POLB,PCNA,EP300,TGS1,MC1R
POLB,PCNA,ZBTB38,PPP2R2A,P2RX6
POLB,PCNA,RHOF,TIAM1,PRSS12
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,KLF10,TNS1,PACSIN1
POLB,PCNA,RHOF,TIAM1,CDH7
POLB,XRCC1,PARP1,RPA4,RTN3,NDRG4
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,UBA52,ZFYVE19,KCNIP4
POLB,PCNA,ATRX,SKA3,MICB
POLB,PCNA,RHOF,TIAM1,CLDN2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,EP300,TGS1,SIRPB1
POLB,PCNA,IGF1R,ADAMTS4,OR6T1
POLB,XRCC1,KLF6,NR0B2,CD274,PDCD1,PDCD1LG2
POLB,PCNA,RHOF,TIAM1,SERPINB4
POLB,XRCC1,KLF6,NR0B2,CACNA1A,CACNB4
POLB,PCNA,RHOF,TIAM1,RGL1
POLB,PCNA,KRAS,KPRP,COL25A1
POLB,PCNA,EP300,TGS1,FCER1G,CD300C
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,SORBS1
POLB,PCNA,KPNA1,TPX2,HMOX2
POLB,PCNA,RHOF,TIAM1,KCNJ3
POLB,PCNA,TOP2A,NCAPH,CYBA
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,WWOX,CATSPERE,LY96
POLB,XRCC1,PARP1,RPA4,TNFRSF10A
POLB,PCNA,DHX15,SF3B5,CHRNA5,LYPD1
POLB,XRCC1,PARP1,RPA4,LRP5
POLB,PCNA,RHOF,TIAM1,TMC5
POLB,PCNA,RHOF,TIAM1,OSBPL2
POLB,PCNA,PRDX3,ATP5F1B
POLB,H2BC8,PDS5A
POLB,PCNA,RHOF,TIAM1,ACVR1C
POLB,PCNA,RELA,ASB9,UNC13B
POLB,PCNA,KRAS,KPRP,SLC44A5
POLB,H2BC21,AKT1,TLR2
POLB,XRCC1,KLF10,TNS1,ARRDC4
POLB,PCNA,RHOF,TIAM1,RBSN
POLB,XRCC1,PARP1,RPA4,VAV1
POLB,XRCC1,PARP1,RPA4,SNX20
POLB,PCNA,RHOF,TIAM1,BOC,IHH
POLB,PCNA,EP300,TGS1,NRXN1
POLB,PCNA,PRDX6,SPR,BLTP1
POLB,H2BC8,SMARCA5,FGFR3
POLB,PCNA,RHOF,TIAM1,CD36
POLB,PCNA,KRAS,KPRP,SLC22A16
POLB,PCNA,RHOF,TIAM1,SNTG2
POLB,XRCC1,KLF10,TNS1,PI4K2A
POLB,XRCC1,PNKP,EIF4ENIF1,PI4KA
POLB,PCNA,RHOF,TIAM1,EFNA1
POLB,XRCC1,KLF6,NR0B2,GUCY2F
POLB,PCNA,RELA,ASB9,TNFRSF21
POLB,PCNA,KPNA1,TPX2,GPSM3
POLB,PCNA,RHOF,TIAM1,PTPRT
POLB,PCNA,RELA,ASB9,PIP5KL1
POLB,H2BC21,CASQ2,EPB41L4B
POLB,PCNA,ZBTB38,PPP2R2A,CLDN12
POLB,PCNA,ZBTB38,PPP2R2A,ADAP1
POLB,H2BC8,SRCAP,PTPN3
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,P4HB,RIPK1,GPR139
POLB,PCNA,EP300,TGS1,SLC9A5
POLB,PCNA,P4HB,RIPK1,CNR1
POLB,PCNA,KIAA1522,NCK1,RTKN2
POLB,H2BC8,ZNF629,RGS3
POLB,PCNA,RHOF,TIAM1,CD44
POLB,PCNA,RELA,ASB9,LTA
POLB,PCNA,UBB,TNFRSF1A,CACNA2D2
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PNKP,EIF4ENIF1,PI4KA,TTC7B
POLB,H2BC21,UBQLN1
POLB,PCNA,H4C6,ZBTB20,ADGRE5
POLB,PCNA,RHOF,TIAM1,MUC6
POLB,PCNA,H4C6,ZBTB20,ANO8
POLB,PCNA,RHOF,TIAM1,ICOS
POLB,PCNA,ZBTB38,PPP2R2A,CATSPERG
POLB,PCNA,P4HB,RIPK1
POLB,H2BC21,ING4,JADE1
POLB,PCNA,DHX15,SF3B5,PCDHGA9
POLB,XRCC1,PARP1,RPA4,TLR3
POLB,PCNA,PPP1CB,PAPOLA,LRRC45
POLB,PCNA,SUMO1,VHL
POLB,XRCC1,PARP1,RPA4,WASHC2C
POLB,PCNA,SUMO1,VHL
POLB,XRCC1,PARP1,RPA4,WNT5A
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,PRDX3,ATP5F1B,COL4A5,SLC10A4
POLB,PCNA,PRDX3
POLB,PCNA,EP300,TGS1,FZD2
POLB,XRCC1,KLF6,NR0B2,LIM2
POLB,PCNA,USP4,YWHAH
POLB,PCNA,RHOF,TIAM1
POLB,H2BC8,ARID4A,KLF9
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,RHOF,TIAM1,RGS9
POLB,PCNA,RHOF,TIAM1,ENPP6
POLB,XRCC1,PARP1,RPA4,COL13A1
POLB,PCNA,UBE2D3,BIRC7,GRIN3B
POLB,PCNA,YBX1,RBMXL2,HAS1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RELA,ASB9,IL2RG
POLB,PCNA,P4HB,RIPK1,ADGRD1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,IL3RA
POLB,PCNA,KIAA1522,NCK1
POLB,PCNA,RHOF,TIAM1,GNG5
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,ATP6AP1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,FEN1,DNA2,SWAP70
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,AGTR1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,EFNA4
POLB,H2BC8,ACTB,DCTN5,CLDN6
POLB,PCNA,DHX15,SF3B5,PCDHGC5
POLB,PCNA,UBE2D3,BIRC7,NLRP6
POLB,PCNA,PRDX6,SPR,ITGAM
POLB,PCNA,PRDX6,SPR,PKP1
POLB,PCNA,RHOF,TIAM1,SLC4A1
POLB,PCNA,CALR,TMX3
POLB,PCNA,RHOF,TIAM1,MUC1
POLB,H2BC8,HELLS,FURIN
POLB,XRCC1,PARP1,RPA4,ITPR2
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,PRDX3,ATP5F1B
POLB,H2BC8,HELLS,FURIN
POLB,H2BC8,ACTB,DCTN5,KNTC1
POLB,PCNA,UBB,TNFRSF1A
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,PRDX6,SPR,ADRA2A
POLB,PCNA,KPNA1,TPX2,PTGIR
POLB,PCNA,PRDX3,ATP5F1B,PCDHA11
POLB,PCNA,WWOX,CATSPERE,IL1RL1
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,ADAMTS13,CELSR1
POLB,PCNA,PRDX6,SPR,GAREM1
POLB,H2BC8,CHD8,CASR
POLB,PCNA,EZH2,CRY2,NTNG2
POLB,PCNA,EP300,TGS1,CD8A
POLB,PCNA,EP300,TGS1,MEP1B
POLB,XRCC1,PARP1,RPA4,NMT2
POLB,H2BC8,BRCA1
POLB,PCNA,KIAA1522,NCK1,LRRC3
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,RHOF,TIAM1,NBEA
POLB,PCNA,RHOF,TIAM1,ADGRA2
POLB,H2BC21,ATP2B3,ENTPD7,ADAM2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,S1PR5
POLB,PCNA,ZBTB38,PPP2R2A,RTN4R,OMG
POLB,PCNA,RHOF,TIAM1,WLS,WNT7B
POLB,XRCC1,PARP1,RPA4,PARD6A
POLB,PCNA,RHOF,TIAM1,IGSF8
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,OR2AG1
POLB,XRCC1,PARP1,RPA4,PDE4A
POLB,H2BC8,HEATR1,SPN
POLB,PCNA,RHOF,TIAM1,GABRA3
POLB,H2BC8,HEATR1,SPN
POLB,PCNA,UBE2D3,BIRC7,FGF10
POLB,PCNA,RHOF,TIAM1,FLT4
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,CALR,TMX3
POLB,LIG3,NR3C1,CLPTM1L,CACNB1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,RAPGEF3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,SLAMF6
POLB,PCNA,POLD1,GINS4,FCER1A
POLB,PCNA,UBE2D3,BIRC7,SLC7A7
POLB,PCNA,KIAA1522,NCK1
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,PRDX6,SPR,ADRA2B
POLB,H2BC21,AKT1,TLR2
POLB,XRCC1,PARP1,RPA4,CNKSR1
POLB,H2BC8,CIZ1
POLB,PCNA,RHOF,TIAM1,TMEM30B
POLB,PCNA,RHOF,TIAM1,CD300LB,TYROBP,TREM1
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,UBE2D3,BIRC7,PSD,GLRA2
POLB,H2BC8,ZMYM2,C8A
POLB,PCNA,RHOF,TIAM1,ATIC
POLB,PCNA,POLD1,GINS4,SLC2A10
POLB,PCNA,RHOF,TIAM1,CDH6
POLB,PCNA,CALR,TMX3
POLB,PCNA,RHOF,TIAM1,NCAM2
POLB,PCNA,PRDX6,SPR,SUCLG2
POLB,H2BC8,ZNF687,INTS6,UNC79
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,HTR1E
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,IL1R1
POLB,PCNA,RHOF,TIAM1,FRS2
POLB,PCNA,UHRF2,ZNF410,CPNE6
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,SUMO1,VHL
POLB,PCNA,POLD1,GINS4,ARAF,SLC9A3R2,OR52B2
POLB,XRCC1,PARP1,RPA4,CTNND2
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,YBX1
POLB,XRCC1,PARP1,RPA4,ANXA8
POLB,PCNA,P4HB,RIPK1,GCGR
POLB,H2BC8,MPHOSPH8
POLB,PCNA,P4HB,RIPK1
POLB,H2BC21,AKT1,TLR2
POLB,H2BC21,AHNAK,CERS2,SLC22A1
POLB,PCNA,EP300,TGS1,NRXN1,SYT13
POLB,PCNA,PRDX6,SPR,GUCA1B
POLB,XRCC1,PARP1,RPA4,CYB5A,SLC38A6
POLB,PCNA,RHOF,TIAM1,MAG
POLB,PCNA,RHOF,TIAM1,NDUFC2
POLB,PCNA,RHOF,TIAM1,F2RL2
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,POLD1,GINS4,PTPRA
POLB,PCNA,MSH2,MGMT,PRRT2
POLB,PCNA,CALR,TMX3,APBA3
POLB,PCNA,RHOF,TIAM1,CYSLTR2
POLB,H2BC21,LARP7,EPB42
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,KIAA1522,NCK1
POLB,PCNA,KRAS,KPRP,GRIK5
POLB,H2BC8,PPIL2
POLB,H2BC21,LARP7,EPB42
POLB,PCNA,PRDX6,SPR,FZD5
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,UBB,TNFRSF1A,CHRNA4
POLB,PCNA,IGF1R,ADAMTS4,CNST
POLB,PCNA,RHOF,TIAM1,INPP5B
POLB,PCNA,RHOF,TIAM1,CD84
POLB,PCNA,EP300,TGS1,CD68
POLB,H2BC8,CHD4,MAGEA3,SIRPG
POLB,PCNA,CDK2,TTK,CHRNA1
POLB,PCNA,LIG1
POLB,PCNA,CDK4,PRKAA1,C4BPB
POLB,PCNA,RHOF,TIAM1,WNK2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,SEMA7A
POLB,H2BC21,H1-4,FBP2
POLB,PCNA,EZH2,CRY2,C1QTNF5
POLB,PCNA,UBB,TNFRSF1A
POLB,XRCC1,PARP1,RPA4,ARHGEF1
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,KIAA1522,NCK1
POLB,H2BC8,HEATR1,SPN
POLB,PCNA,EP300,TGS1,SLC27A6
POLB,PCNA,KIAA1522,NCK1,PLCH2
POLB,PCNA,EZH2,CRY2,PCSK9
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,SORBS2
POLB,PCNA,KRAS,KPRP,CBLB
POLB,PCNA,PPIA,TAGLN2,CD28
POLB,PCNA,RHOF,TIAM1,ABCA6
POLB,PCNA,CHTF18,PSG11
POLB,XRCC1,PARP1,RPA4,ITGB8
POLB,PCNA,EZH2,CRY2,RAB40A
POLB,PCNA,EZH2,CRY2,DGKD
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,PRDX6,SPR,ITGAD
POLB,XRCC1,PARP1,RPA4,SCN5A
POLB,XRCC1,KLF10,TNS1,OPRM1
POLB,H2BC8,FOXM1,YTHDC1
POLB,XRCC1,PARP1,RPA4,HIF3A
POLB,PCNA,RHOF,TIAM1,RAB35
POLB,PCNA,KRAS,KPRP,ADAM18
POLB,PCNA,KPNA1,TPX2,FCHSD2
