POLB,PCNA,RHOF,TIAM1
POLB,PCNA,ATM,TTI2,RAPGEF4
POLB,PCNA,RHOF,TIAM1,SDK2
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,P4HB,RIPK1,GALR2
POLB,PCNA,KRAS,KPRP,GRIK5,GRIK3
POLB,XRCC1,PARP1,RPA4,ENPP7
POLB,PCNA,POLD1,GINS4,DDR2
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,CDK14,GDE1
POLB,XRCC1,PARP1,RPA4,PTPRE
POLB,PCNA,EP300,TGS1,C4A
POLB,PCNA,KRAS,KPRP,CYTH4
POLB,PCNA,RHOF,TIAM1,BMP2,RGMA
POLB,PCNA,RHOF,TIAM1,STRA6
POLB,H2BC8,HELLS,FURIN
POLB,PCNA,CHTF18,PSG11
POLB,XRCC1,PARP1,RPA4,ENDOD1,DPEP1
POLB,PCNA,POLD3,MELTF,ENTPD6
POLB,H2BC21,ZNF638,JPH4
POLB,PCNA,RHOF,TIAM1,VAMP7
POLB,PCNA,RHOF,TIAM1,CHRNB4
POLB,PCNA,PPP1CB,PAPOLA,ADH1C
POLB,H2BC8,ACTB,DCTN5,VPS35L
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,NOTCH2NLC,KCNS2
POLB,PCNA,PRDX6,SPR,TNFRSF25
POLB,PCNA,RHOF,TIAM1,CDH18
POLB,XRCC1,KLF6,NR0B2,SYT1
POLB,PCNA,RELA,ASB9,CACNA1E
POLB,XRCC1,POLI,RIGI,NOTCH4
POLB,PCNA,CDK4,PRKAA1,CPEB3
POLB,H2BC8,MAZ,DCC
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,MSH6,ANKRD17,TLR8
POLB,H2BC21,LARP7,EPB42
POLB,PCNA,PPP1CB,PAPOLA,HAS3
POLB,PCNA,RHOF,TIAM1,LNPEP
POLB,H2BC21,AKT1,TLR2,LSP1
POLB,H2BC21,TMEM192,GNS,MBLAC2
POLB,PCNA,KPNA1,TPX2,MAP1B
POLB,H2BC8,TAF5L,ALOX15B
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,MYC,ELL,KIR3DL2
POLB,XRCC1,KLF10,TNS1,MPL
POLB,XRCC1,KLF6,NR0B2,DIP2A
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,PCDHAC2
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,CHRNE
POLB,XRCC1,PARP1,RPA4,NUCB2
POLB,XRCC1,POLI,RIGI,CHRDL1
POLB,PCNA,HOOK3,DCTN1,SLC9C1
POLB,H2BC8,ZNF629,RGS3
POLB,H2BC8,CHD1L,NT5E
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,TACR1
POLB,PCNA,CCND3,CDK16,CCNYL1
POLB,PCNA,SUMO1
POLB,PCNA,RHOF,TIAM1,PSG1
POLB,H2BC8,ZNF629,RGS3,HAS2
POLB,XRCC1,POLI,RIGI,MMP2
POLB,PCNA,CDK5
POLB,PCNA,P4HB,RIPK1,GABRA1
POLB,XRCC1,PARP1,RPA4,BFAR
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,RHOF,TIAM1,CARMIL1
POLB,PCNA,PRDX6,SPR,TSHZ3
POLB,XRCC1,PARP2,DISC1,SHROOM2
POLB,PCNA,RHOF,TIAM1,TSPAN12
POLB,H2BC21,PKMYT1,INSRR
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PARP1,RPA4,RTN3,NDRG4
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,IGF1R,ADAMTS4,GNAL
POLB,PCNA,RHOF,TIAM1,EPB41L2
POLB,PCNA,POLD1,GINS4,ISLR2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,EP300,TGS1,C5AR1,CR1
POLB,PCNA,UBB
POLB,PCNA,HOOK3,DCTN1,SLC15A2
POLB,PCNA,KIAA1522,NCK1,SLITRK6
POLB,PCNA,ZBTB38,PPP2R2A,ATP8B1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,CALCRL
POLB,PCNA,EP300,TGS1,CD27,CD70
POLB,PCNA,UBA52,ZFYVE19,MVB12B
POLB,PCNA,RHOF,TIAM1,APH1A
POLB,PCNA,EP300,TGS1,ANXA13
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,YWHAQ,KSR1,RHBDL1
POLB,PCNA,GOLGA1,DVL3,GPR85
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,SYTL4
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,P4HB,RIPK1,BDKRB1
POLB,PCNA,RHOF,TIAM1,FCN1
POLB,PCNA,KPNA1,TPX2,FEM1C,OR51B2
POLB,PCNA,RHOF,TIAM1,ARHGEF5
POLB,PCNA,H4C6,ZBTB20,DGAT1
POLB,PCNA,RELA,ASB9,KCNH1
POLB,PCNA,MSH2,MGMT,HLA-DPA1
POLB,PCNA,RHOF,TIAM1,PPFIBP1
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RELA,ASB9,OLFM4
POLB,PCNA,RHOF,TIAM1,SYNGAP1
POLB,PCNA,RHOF,TIAM1,CEACAM1
POLB,PCNA,RHOF,TIAM1,HSPG2
POLB,PCNA,KRAS,KPRP,CACNA2D1
POLB,H2BC21,UBQLN1,FGF7,ULBP1
POLB,H2BC21,RIF1,CLN3
POLB,PCNA,RHOF,TIAM1,PKD2L1,PKD1L3
POLB,PCNA,PRDX6,SPR,EFHD2,OR2K2
POLB,PCNA,IGF1R,ADAMTS4,ATP23
POLB,PCNA,RHOF,TIAM1,SEMA4G
POLB,PCNA,RHOF,TIAM1,REPS1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,UBC,TBC1D15,DENND3,RAB12
POLB,PCNA,KIAA1522,NCK1
POLB,PCNA,RHOF,TIAM1,PRICKLE3
POLB,PCNA,UBB,TNFRSF1A
POLB,XRCC1,KLF6,NR0B2,LAPTM4B
POLB,PCNA,PRDX6,SPR,STAB2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,ZBTB38,PPP2R2A,PRCP
POLB,PCNA,CDK5,STXBP1
POLB,XRCC1,KLF6,NR0B2,NEXN
POLB,PCNA,RHOF,TIAM1,CAV2
POLB,PCNA,RELA,ASB9,SCTR
POLB,PCNA,PRDX6,SPR,KCNV1
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PARP1,RPA4,LIMD1
POLB,XRCC1,KLF10,TNS1,DFFA
POLB,XRCC1,KLF10,TNS1,TBXA2R
POLB,PCNA,UBC,TBC1D15,SLC7A10
POLB,PCNA,CALR,TMX3,CLEC4G
POLB,H2BC21,CASQ2,EPB41L4B
POLB,PCNA,P4HB,RIPK1,NMUR1
POLB,PCNA,RELA,ASB9,KCNN4
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,UBA52,ZFYVE19,BTN2A2
POLB,PCNA,P4HB,RIPK1,ADGRF1
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,CDK14,GDE1
POLB,PCNA,RHOF,TIAM1,PHKA1
POLB,PCNA,P4HB,RIPK1,P2RX5
POLB,PCNA,RHOF,TIAM1,BTC
POLB,PCNA,ZBTB38,PPP2R2A,ABTB1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,NCR3LG1,CD200R1,CD200
POLB,H2BC8,CSNK2A2,BHLHE41,CATSPER1,CACNA1I
POLB,PCNA,KIAA1522,NCK1,DGKE
POLB,XRCC1,PARP1,RPA4,CYB5A,SLC38A6
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,KLF6,NR0B2,NUP35
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PARP1,RPA4,CDH16,SLC39A6
POLB,PCNA,P4HB,RIPK1,NPY4R2
POLB,PCNA,RHOF,TIAM1,RAPGEF1
POLB,PCNA,RHOF,TIAM1,CAMK1G
POLB,PCNA,UBE2D3,BIRC7,PDE9A
POLB,PCNA,RHOF,TIAM1,ITGA6
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,CCND3,CDK16
POLB,H2BC21,IGSF3,TSPAN15
POLB,PCNA,EP300,TGS1,PAQR9
POLB,H2BC8,BRD4,UBLCP1,KCNAB3
POLB,PCNA,RELA,ASB9,ADORA2A,ADORA2B
POLB,PCNA,RHOF,TIAM1,ORAI3
POLB,PCNA,ZBTB38,PPP2R2A,SLC8A3
POLB,PCNA,EP300,TGS1,TNFRSF17
POLB,PCNA,RHOF,TIAM1,CSPG4
POLB,XRCC1,KLF10,TNS1,ITGA2
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,TOP2A,NCAPH,RGS7
POLB,PCNA,RHOF,TIAM1,ITGA9
POLB,H2BC8,YWHAB,PPEF1,SLC17A8
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RHOF,TIAM1,KCNH2
POLB,PCNA,UBB,TNFRSF1A
POLB,XRCC1,PARP1,RPA4,APBB1IP
POLB,XRCC1,KLF6,NR0B2,SLC12A5
POLB,PCNA,KPNA1,TPX2,SSTR5
POLB,H2BC8,ACTB,DCTN5,PAQR8
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,LARP7,EPB42
POLB,PCNA,KRAS,KPRP,PIK3R5
POLB,PCNA,RHOF,TIAM1,CDH12
POLB,XRCC1,POLK,SBSN,TNFRSF18,TNFSF18
POLB,PCNA,RHOF,TIAM1,THY1
POLB,PCNA,KIAA1522,NCK1,TBC1D24
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,CACNB2
POLB,XRCC1,PARP1,RPA4,PCDHGB2
POLB,PCNA,RHOF,TIAM1,EDNRB
POLB,PCNA,ZBTB38,PPP2R2A,EPHB1
POLB,PCNA,EZH2,CRY2,ABCA12
POLB,XRCC1,POLK,SBSN,MRC1
POLB,PCNA,UBB,TNFRSF1A,KCNIP1
POLB,XRCC1,PARP1,RPA4,ARHGAP45
POLB,XRCC1,PARP1,RPA4,PIEZO2
POLB,PCNA,PRDX6,SPR,BMF
POLB,PCNA,RELA,ASB9,CD1A
POLB,PCNA,RHOF,TIAM1,ADCY5
POLB,PCNA,EP300,TGS1,CLDN5
POLB,XRCC1,KLF10,TNS1,RERG
POLB,PCNA,P4HB,RIPK1,NPY1R
POLB,H2BC8,HEATR1,SPN
POLB,PCNA,CALR,TMX3
POLB,PCNA,ZBTB38,PPP2R2A,FCHO1
POLB,PCNA,RHOF,TIAM1,SYNJ2
POLB,PCNA,RHOF,TIAM1,NTM
POLB,PCNA,RHOF,TIAM1,FRMD7
POLB,PCNA,RHOF,TIAM1,LGR5
POLB,PCNA,EZH2,CRY2,NPPA,NPR3
POLB,H2BC8,HELLS,FURIN
POLB,PCNA,RHOF,TIAM1,SERPINB12
POLB,PCNA,EP300,TGS1,PTGER4
POLB,PCNA,WWOX,CATSPERE,ZDHHC22
POLB,PCNA,P4HB,RIPK1,S1PR3
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PARP1,RPA4,ARHGAP35
POLB,PCNA,EP300,TGS1,ABCG1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,GOLGA1,DVL3,DTNBP1
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,RHOF,TIAM1,CACNA1C
POLB,PCNA,RHOF,TIAM1,JAM3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,H4C6,ZBTB20,OR14J1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,UBB,TNFRSF1A,NRXN2
POLB,XRCC1,PARP1,RPA4,KCNA3
POLB,PCNA,UHRF2,ZNF410,SKAP1
POLB,PCNA,RHOF,TIAM1,SLC31A1
POLB,PCNA,H3C12,TPR,ADAM15
POLB,PCNA,KIAA1522,NCK1
POLB,PCNA,UBC,TBC1D15,LRP10
POLB,PCNA,RHOF,TIAM1,NCR3LG1,CD200R1
POLB,PCNA,RHOF,TIAM1
POLB,H2BC8,ZNF768,SLC16A6
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,ZBTB38,PPP2R2A,RTN4RL1
POLB,XRCC1,KLF10,TNS1,TGFBR3
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,CREBBP,GMEB2,KL
POLB,H2BC8,TAF5L,ALOX15B
POLB,PCNA,RHOF,TIAM1
POLB,H2BC8,SMARCA5,FGFR3
POLB,PCNA,RHOF,TIAM1,RGS20
POLB,PCNA,UBE2D3,BIRC7,C2CD5
POLB,PCNA,EP300,TGS1,SLC4A2
POLB,PCNA,CCND3,CDK16
POLB,PCNA,RHOF,TIAM1,SYPL1
POLB,H2BC8,DIDO1,IFI6
POLB,PCNA,USP4,YWHAH
POLB,PCNA,UHRF1,PRKAR1A,GPR161
POLB,PCNA,RHOF,TIAM1,CALM2
POLB,PCNA,IGF1R,ADAMTS4,CD300LF
POLB,H2BC8,BRD2,RAB2B
POLB,PCNA,UBE2D3,BIRC7,CHMP7
POLB,PCNA,RELA,ASB9,LRP1B
POLB,PCNA,PRDX6,SPR,ACSL5
POLB,PCNA,UBA52
POLB,PCNA,KIAA1522,NCK1,OR2T10
POLB,XRCC1,PARP1,RPA4,IRAG2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,IGF1R,ADAMTS4,BTNL8
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,SLC30A2
POLB,PCNA,IGF1R,ADAMTS4,PLEKHH2
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,CDK1,CKS2,PSG6
POLB,PCNA,H2AZ2,FH,TLCD3A
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,SUMO1,VHL
POLB,PCNA,KRAS,KPRP,NTN4
POLB,PCNA,RHOF,TIAM1,GOLGA7B
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,TIRAP
POLB,PCNA,PRDX3,ATP5F1B,GPRC5C
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PARP1,RPA4,FZD6,TMPRSS12
POLB,PCNA,CALR,TMX3
POLB,PCNA,RHOF,TIAM1,CLEC4A
POLB,XRCC1,KLF10,TNS1,CDH8
POLB,XRCC1,PARP1,RPA4,INPP5E
POLB,XRCC1,KLF10,TNS1,ADAM10
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,KLF10,TNS1,SH3GL2,ADAM9
POLB,PCNA,EP300,TGS1,FCER1G,CD300C
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,POLK,SBSN,SLC22A8
POLB,PCNA,DHX15,SF3B5,SYT4
POLB,H2BC21,H3-4,CAPN3
POLB,H2BC8,ZNF629,RGS3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,EP300,TGS1,CXCR2
POLB,PCNA,RHOF,TIAM1,SLC12A6
POLB,PCNA,P4HB,RIPK1,GABRA1,GABRG3
POLB,PCNA,CALR,TMX3
POLB,PCNA,PMS2,PPP2CA
POLB,H2BC8,KAT5,DUSP23,ZNF804A
POLB,PCNA,RHOF,TIAM1,CXCL12,CCR10
POLB,H2BC21,IGSF3,TSPAN15
POLB,PCNA,PRDX6,SPR,ITGB1BP1
POLB,PCNA,RHOF,TIAM1,LIMS2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,POLD1,GINS4,RASD1
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,IGF1R,ADAMTS4,GNA15
POLB,PCNA,RHOF,TIAM1,TNFSF13B
POLB,XRCC1,POLK,SBSN,TMPRSS5
POLB,PCNA,RHOF,TIAM1,SLC1A1,SLC1A4
POLB,H2BC21,LARP7,EPB42
POLB,H2BC21,ZNF644,ATP9A
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,ADRA1D
POLB,PCNA,H3C12,TPR,HLA-DRA
POLB,PCNA,RHOF,TIAM1,ACP3
POLB,H2BC21,ZNF644,ATP9A
POLB,XRCC1,PARP1,RPA4,GNB4,FZD10
POLB,PCNA,YWHAQ,KSR1,GPR152
POLB,PCNA,RHOF,TIAM1,ARHGAP17
POLB,PCNA,RELA,ASB9,KIR3DL1
POLB,H2BC21,LARP7,EPB42
POLB,PCNA,RHOF,TIAM1,ENTHD1
POLB,H2BC21,ATP2B3
POLB,PCNA,RHOF,TIAM1,MOG
POLB,PCNA,GOLGA1,DVL3,PRKD3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,IGF1R,ADAMTS4,GJC1
POLB,PCNA,RAD23A,SPANXN3,NLGN4X
POLB,PCNA,KPNA1,TPX2,ADRB1
POLB,XRCC1,POLK,SBSN,SIGLEC12
POLB,PCNA,RHOF,TIAM1,XPO6
POLB,PCNA,KPNA1,TPX2,CLCN3
POLB,PCNA,RHOF,TIAM1,SNTB2
POLB,H2BC21,CGAS
POLB,PCNA,KRAS,KPRP,PRPH2,ROM1
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,EP300,TGS1,DRD4
POLB,PCNA,UBA52,ZFYVE19,VPS37B
POLB,XRCC1,PARP1,RPA4,SYT7
POLB,PCNA,CALR,TMX3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,H2BC8,HELLS,FURIN
POLB,PCNA,MSH6,ANKRD17,BCHE
POLB,PCNA,CHTF18,PSG11
POLB,PCNA,SUMO1,VHL
POLB,PCNA,EXO1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RELA,ASB9,CX3CR1
POLB,H2BC8,HELLS,FURIN
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,H3C12,TPR,TMBIM6
POLB,XRCC1,POLK,SBSN,SIGLEC10
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,AGTR1,AGTRAP
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,RHOF,TIAM1
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,RHOF,TIAM1,TMEM179B
POLB,H2BC8,ZNF629,RGS3
POLB,LIG3,MDC1,CDH13
POLB,H2BC21,AKT1,TLR2
POLB,H2BC8,RCC2
POLB,PCNA,RHOF,TIAM1,TMEM30A
POLB,PCNA,KRAS,KPRP,SPINT1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,XPA,GTF2H1,CD59
POLB,PCNA,RHOF,TIAM1,GNAT3
POLB,H2BC8,ZNF687,INTS6,NALF1
POLB,H2BC8,DHX16,EHD2
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,RHOF,TIAM1,WNT1
POLB,XRCC1,PARP1,RPA4,PCP2
POLB,PCNA,RHOF,TIAM1,SPPL2B
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,FEN1,DNA2,HEPHL1
POLB,PCNA,RHOF,TIAM1,TMPRSS11B
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,GOLGA1,DVL3,REM2
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,RHOF,TIAM1,NEGR1
POLB,PCNA,KIAA1522,NCK1
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,KPNA1,TPX2,KCNQ1
POLB,PCNA,ZBTB1,PALLD
POLB,PCNA,RHOF,TIAM1,CNTN2
POLB,PCNA,RHOF,TIAM1,UNC5D
POLB,H2BC8,YWHAB,PPEF1,CALN1
POLB,XRCC1,PARP1,RPA4,RAB24
POLB,PCNA,KIAA1522,NCK1,SIGLEC6
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,RHOF,TIAM1,TMPRSS11A
POLB,PCNA,KIAA1522,NCK1,PCDH18
POLB,PCNA,H3C12,TPR,TULP1
POLB,PCNA,RHOF,TIAM1,CYTH2
POLB,PCNA,RELA,ASB9,TTLL12
POLB,PCNA,PRDX3,ATP5F1B
POLB,H2BC8,ZNF768,SLC16A6
POLB,PCNA,RHOF,TIAM1,PCDHB3
POLB,H2BC8,CHD1L
POLB,PCNA,ATM,TTI2,RAPGEF5
POLB,PCNA,PMS2,PPP2CA,NUBP2,GGT7
POLB,PCNA,PRDX6,SPR,KLK10,SERPINB10
POLB,XRCC1,PARP1,RPA4,VAV2
POLB,PCNA,UBE2I,CAMK2D,SLC39A12
POLB,PCNA,RHOF,TIAM1,CD300LB,TYROBP
POLB,H2BC21,ZNF644,ATP9A
POLB,XRCC1,PARP1,RPA4,RABAC1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,YWHAQ,KSR1,SYT3
POLB,XRCC1,KLF10,TNS1,SLC20A1
POLB,PCNA,WWOX,CATSPERE,GBP1
POLB,PCNA,PRDX6,SPR,GLO1
POLB,PCNA,IGF1R,ADAMTS4,GFRAL
POLB,PCNA,IGF1R,ADAMTS4,CDH19
POLB,PCNA,RHOF,TIAM1,PKD2L1
POLB,PCNA,POLD1,GINS4,CD63
POLB,PCNA,EP300,TGS1,TNFRSF13C
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,PRDX6,SPR,AQP9
POLB,XRCC1,PARP1,RPA4,SYT11
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,RAB28
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,FBH1,SKP1,IL22RA1
POLB,PCNA,RHOF,TIAM1,SCN2B
POLB,PCNA,KPNA1,TPX2,CXCR3
POLB,H2BC8,ZMYM2,C8A,CELSR2
POLB,PCNA,DHX15,SF3B5,NOSTRIN
POLB,XRCC1,PARP1,RPA4,RGS14
POLB,PCNA,RHOF,TIAM1,CD79B
POLB,XRCC1,POLI,RIGI,ANKRD27
POLB,XRCC1,PARP1,RPA4,ARHGAP10
POLB,PCNA,H3C12,TPR,CAPNS1
POLB,PCNA,RFC3,RPP40,IFITM1
POLB,PCNA,RHOF,TIAM1
POLB,H2BC8,SDCBP,TEKT1,GRM4
POLB,PCNA,RHOF,TIAM1,KLRC4,CLPTM1
POLB,PCNA,P4HB,RIPK1
POLB,XRCC1,KLF10,TNS1,KIT
POLB,PCNA,UBB,TNFRSF1A
POLB,PCNA,KRAS,KPRP,EFNA3
POLB,H2BC8,HELLS,FURIN
POLB,PCNA,RHOF,TIAM1,PARVG
POLB,PCNA,KIAA1522,NCK1,ACE2,SLC6A19
POLB,XRCC1,KLF6,NR0B2,CD274
POLB,PCNA,CCND3,CDK16
POLB,PCNA,IGF1R,ADAMTS4,PCDHB5
POLB,PCNA,RELA,ASB9,RNF34
POLB,PCNA,RHOF,TIAM1,EFNA5
POLB,PCNA,UBB,TNFRSF1A
POLB,H2BC21,LARP7,EPB42
POLB,PCNA,MLH1,PPP3CB
POLB,H2BC8,HMG20A,PAWR
POLB,PCNA,RHOF,TIAM1,VAMP1
POLB,PCNA,RHOF,TIAM1
POLB,XRCC1,PARP1,RPA4,SCNN1G
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,KCNJ6
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,ZBTB38,PPP2R2A,KCNAB1
POLB,PCNA,EZH2,CRY2,KCNA6
POLB,PCNA,RHOF,TIAM1,ATP1B2
POLB,PCNA,UBC,TBC1D15,LRP3
POLB,H2BC21,IGSF3,TSPAN15
